Store_ID,Week_Start,Week_End,Forecast_Demand,Safety_Stock,Available_Stock,Recommended_PO
39,2027-01-01,2027-01-07,80551.74,421,691,80282
40,2027-01-01,2027-01-07,28746.81,705,842,28610
41,2027-01-01,2027-01-07,79964.93,332,1771,78526
42,2027-01-01,2027-01-07,23392.12,807,465,23735
43,2027-01-01,2027-01-07,24991.69,761,570,25183
44,2027-01-01,2027-01-07,44425.49,483,794,44115
45,2027-01-01,2027-01-07,108380.24,254,1788,106847
46,2027-01-01,2027-01-07,79497.84,977,1551,78924
47,2027-01-01,2027-01-07,81627.82,556,159,82025
48,2027-01-01,2027-01-07,91505.12,915,497,91924
49,2027-01-01,2027-01-07,39387.39,743,1497,38634
50,2027-01-01,2027-01-07,50990.01,823,199,51615
51,2027-01-01,2027-01-07,118174.79,808,1555,117428
52,2027-01-01,2027-01-07,88130.56,355,578,87908
53,2027-01-01,2027-01-07,127459.47,491,1660,126291
54,2027-01-01,2027-01-07,41802.36,573,599,41777
55,2027-01-01,2027-01-07,73893.07,598,838,73654
56,2027-01-01,2027-01-07,44786.09,235,1225,43797
57,2027-01-01,2027-01-07,16922.47,637,314,17246
58,2027-01-01,2027-01-07,71591.22,323,1047,70868
59,2027-01-01,2027-01-07,24646.33,795,959,24483
60,2027-01-01,2027-01-07,137503.3,747,1433,136818
61,2027-01-01,2027-01-07,22637.75,938,1794,21782
62,2027-01-01,2027-01-07,23286.88,796,1229,22854
63,2027-01-01,2027-01-07,54025.16,493,796,53723
64,2027-01-01,2027-01-07,89531,974,791,89714
65,2027-01-01,2027-01-07,116811.21,529,810,116531
66,2027-01-01,2027-01-07,44158.67,460,1484,43135
67,2027-01-01,2027-01-07,54109.28,925,646,54389
68,2027-01-01,2027-01-07,52347.33,496,384,52460
69,2027-01-01,2027-01-07,22143.68,261,668,21737
70,2027-01-01,2027-01-07,68467.37,576,138,68906
71,2027-01-01,2027-01-07,39378.01,837,280,39936
72,2027-01-01,2027-01-07,38819.55,351,253,38918
73,2027-01-01,2027-01-07,107993.11,570,1412,107152
74,2027-01-01,2027-01-07,105125.54,304,1328,104102
75,2027-01-01,2027-01-07,85826.03,749,1285,85291
76,2027-01-01,2027-01-07,55199.72,581,885,54896
77,2027-01-01,2027-01-07,43468.05,464,1319,42614
78,2027-01-01,2027-01-07,124373.95,381,374,124381
79,2027-01-01,2027-01-07,70631.4,652,1631,69653
80,2027-01-01,2027-01-07,68108.6,736,952,67893
81,2027-01-01,2027-01-07,71048.67,953,1695,70307
82,2027-01-01,2027-01-07,49678.59,550,359,49870
83,2027-01-01,2027-01-07,101491.19,328,945,100875
84,2027-01-01,2027-01-07,45329.79,866,1284,44912
85,2027-01-01,2027-01-07,33092.79,704,943,32854
86,2027-01-01,2027-01-07,93004.21,760,858,92907
87,2027-01-01,2027-01-07,27359.66,277,382,27255
88,2027-01-01,2027-01-07,89647.5,450,748,89350
89,2027-01-01,2027-01-07,65127.96,815,506,65437
90,2027-01-01,2027-01-07,122126.99,866,612,122381
91,2027-01-01,2027-01-07,88375.01,548,1262,87662
92,2027-01-01,2027-01-07,72613.36,844,1172,72286
93,2027-01-01,2027-01-07,101859.07,874,1132,101602
94,2027-01-01,2027-01-07,80504.22,510,715,80300
95,2027-01-01,2027-01-07,80236.41,919,1732,79424
96,2027-01-01,2027-01-07,33580.98,430,249,33762
97,2027-01-01,2027-01-07,87808.61,391,682,87518
98,2027-01-01,2027-01-07,152000.79,746,300,152447
99,2027-01-01,2027-01-07,53442.06,710,676,53477
100,2027-01-01,2027-01-07,91211.65,311,1736,89787
