Store,Date,ForecastSales
29,2027-01-07,3618.81
30,2027-01-07,3596.71
31,2027-01-07,5333.89
32,2027-01-07,3935.8
33,2027-01-07,3429.38
34,2027-01-07,4477.12
35,2027-01-07,3722.22
36,2027-01-07,3930.44
37,2027-01-07,3861.45
38,2027-01-07,4287.28
39,2027-01-07,3753.8
40,2027-01-07,3182.43
41,2027-01-07,3759.41
42,2027-01-07,4087.38
43,2027-01-07,4239.94
44,2027-01-07,6475.24
45,2027-01-07,4934.09
46,2027-01-07,4689.64
47,2027-01-07,4538.61
48,2027-01-07,4824.77
49,2027-01-07,5421.39
50,2027-01-07,4181.98
